Timestamp,How often do you eat at a food truck?,How do you find food trucks to visit?,What do you need to know about food trucks to plan a visit?,What features would you like a food truck tracking app to have?,Could I contact you to ask you a few more questions about your experiences?,"What is your favorite truck, and what city is it in?",What is your favorite food truck-finding resource?,What is your favorite app or resource for finding places to eat? ,What's the most important thing to know for you to be able to plan your visit?,What's the best food truck pun name you've ever heard?
7/22/2015 13:55:08,Once a month,"The truck's Facebook page, Find them on the street, At a gathering or festival","Type of food, Method of payment","Text listings with search, Search by food type, Search by price",,"Tamale Boy, PDX",N/A,N/A,Location that day,N/A
7/22/2015 14:02:54,Once a month,"Friends, Find them on the street, At a gathering or festival","Type of food, Menu, Prices, Location that day, Method of payment",An interactive map,,,,,Type of food,
7/22/2015 14:03:27,Once every six months,"The truck's Facebook page, Friends, Find them on the street, At a gathering or festival","Menu, Location that day",An interactive map,,"Anchor Fish and Chips, Minneapolis","Gossip, right now",,Menu,
7/22/2015 14:05:57,Once a month,A website,"Type of food, Location that day, Method of payment",Search by food type,,"nosh, seattle",Seattlefoodtrucks.com,,Location that day,thai-u-up
7/22/2015 14:08:00,Once every six months,Find them on the street,"Type of food, Menu, Prices, Location that day","An interactive map, Search by food type, Search by price",,"Now Make Me A Sandwich, Seattle",Stumbling upon them,yelp,Location that day,
7/22/2015 14:15:51,Once a month,"Find them on the street, At a gathering or festival","Type of food, Menu, Location that day, Schedule for future, Method of payment","An interactive map, Links to truck social media or websites, a map that shows you which trucks are near you right now would be great!",,chairman bao - oakland,I follow a couple on twitter,yelp,Type of food,I hate them all.
7/22/2015 14:17:57,Once a week,"Friends, Find them on the street, At a gathering or festival","Menu, Prices, Schedule for future, Method of payment","An interactive map, Search by food type, Search by price",,"Curry Up Now, San Francisco, Ca",I don't have one,I actually just use google...,Method of payment,Kim Jung Grill in Portland
7/22/2015 14:22:26,Once every six months,"Find them on the street, At a gathering or festival, scheduled visits at bars","Type of food, Menu",not really interested in an app,,"yeah dawg!! ny, not really -- ive never eaten there, but it looks delicious; i guess the hot dog stands on pike maybe","like selection at festivals, never really looked up a specific truck","yelp webside, or google search; dont use apps for this purpose",Type of food,idk
7/22/2015 14:34:32,Once a month,"Friends, Find them on the street","Prices, Schedule for future",An interactive map,,Curry Up Now,Street,Yelp,Type of food,Cant think of any
7/22/2015 14:36:26,Once a year,"The truck's Facebook page, Find them on the street, At a gathering or festival","Type of food, Menu, Prices, Location that day, Schedule for future, Method of payment",Search by food type,,,,,Location that day,
7/22/2015 14:37:00,Once every six months,Find them on the street,"Type of food, Menu, Prices, Location that day, Method of payment",Search by food type,,,,,if they have veggie options,
7/22/2015 14:37:16,Once a week,"The truck's Facebook page, Food Truck Friday: regular event in town. Learned about it through the landowner's FB.","Type of food, Location that day","An interactive map, Search by food type, Links to truck social media or websites",,"Juancho's Munchies, Bloomington, IN",,,Location that day,
7/22/2015 14:38:18,Once a month,Find them on the street,"Type of food, Prices, Location that day, Method of payment","An interactive map, Text listings with search, Search by food type, Search by price",,,,,Location that day,
7/22/2015 14:38:57,Once a year,Friends,"Type of food, Method of payment","Search by food type, Filter by dietary restrictions",,Captain Cookie and the Milkman in DC,I dont have one,I don't have one,Menu,Capn'Mac (mac n cheese truck)
7/22/2015 14:40:18,Once a month,Find them on the street,"Menu, Prices, Location that day, Method of payment, Reviews","An interactive map, Search by food type, Search by price, Reviews",,Curry Up Now in San Francisco ,I don't really have a resource. Many park around my office building so I just walk around to find the shortest line. ,Yelp,Reviews,Curry Up Now
7/22/2015 14:42:48,Once a month,"Friends, Find them on the street, At a gathering or festival","Type of food, Menu, Location that day","An interactive map, Search by food type, Links to truck social media or websites",,"Tacos Mi Rancho, Oakland, CA",,,Menu,
7/22/2015 14:47:46,Once a week,"The truck's Twitter account, The truck's Facebook page","Type of food, Menu, Prices, Location that day, Schedule for future, Method of payment","An interactive map, Text listings with search, Search by food type, Search by price",,"Plum, Seattle",Searching online; AKA: none,Urban Spoon,Menu,http://baguettaboutit.com/
7/22/2015 14:54:38,Once a month,"The truck's Twitter account, Find them on the street","Type of food, Menu, Prices, Location that day, Method of payment","An interactive map, Search by food type, Search by price, ratings by other users.",,"Red Hook Lobster Pound, NYC",I use Twitter.,Yelp,Menu,Pretty Thai for a White Guy
7/22/2015 14:55:35,Once a month,"The truck's Twitter account, Find them on the street, They show up outside my place of work predictably.","Type of food, Location that day","An interactive map, Search by food type",,Outside the box Paleo Food,I dont have one,"Used to be urbanspoon.com, but now just google.",Menu,Baguettaboutit!
7/22/2015 14:55:51,Once a month,"The truck's Twitter account, The truck's Facebook page, A website, Find them on the street, At a gathering or festival","Type of food, Menu, Prices, Location that day, Schedule for future, Method of payment","An interactive map, Search by food type, Links to truck social media or websites",,"The Burnt Truck, Irvine, CA",Dont have one.,UrbanSpoon,Prices,
7/22/2015 14:56:40,I haven't eaten at a food truck,"Find them on the street, At a gathering or festival","Type of food, Prices",An interactive map,,,,Grub hub,Location that day,
7/22/2015 14:56:53,Once every six months,At a gathering or festival,Type of food,"Search by food type, Links to truck social media or websites",,Fork in Sebastapol http://forkcatering.com/menus/,internet,yelp,Type of food,
7/22/2015 14:58:03,Once every six months,"Find them on the street, At a gathering or festival","Type of food, Menu, Prices","An interactive map, Text listings with search, Search by food type, Search by price, Links to truck social media or websites",,,,,Type of food,
7/22/2015 15:00:29,Once a year,"The truck's Twitter account, A mobile app, Find them on the street","Type of food, Prices","An interactive map, Search by food type",,,,Yelp,Type of food,"I can't think of one off of the top of my head, but I like the name you picked for your app :)"
7/22/2015 15:00:33,Once every six months,"Find them on the street, At a gathering or festival","Type of food, Menu, Location that day","An interactive map, Search by food type, Links to truck social media or websites",,,,,Type of food,
7/22/2015 15:02:45,Once a year,"Friends, Find them on the street","Menu, Prices, Location that day","An interactive map, Search by food type",,,,,Menu,
7/22/2015 15:06:10,Once every six months,"The truck's Twitter account, The truck's Facebook page, Find them on the street","Type of food, Prices, Location that day, Method of payment","An interactive map, Search by food type, Links to truck social media or websites",,"Where Ya At Matt, Seattle",Twitter,Foursquare,Schedule for future,Can't think of one off hand
7/22/2015 15:06:29,Once a week,The truck's Twitter account,"Type of food, Location that day",An interactive map,,Napkin Friends in Seattle,Twitter,Google,Location that day,NaanSense
7/22/2015 15:09:41,Once a month,"Friends, Find them on the street","Menu, Prices, Location that day","An interactive map, Search by food type",,"Cheese Wizards, Seattle",Google,Friends,Type of food,n/a
7/22/2015 15:15:05,I haven't eaten at a food truck,Find them on the street,"Type of food, Menu, Method of payment",Links to truck social media or websites,,,,,Method of payment,
7/22/2015 15:17:15,Once every six months,"Friends, Find them on the street, At a gathering or festival","Type of food, Location that day, Method of payment","An interactive map, Text listings with search, Search by food type, Search by price",,Tres Chiles - usually in Bend or Portland,There isn't any!,Don't have one,Type of food,Can't think of one :/
